flavor,calcium_dv,sugars,iron_dv,updated_at,full_ingredient,vitamin_a_dv,saturated_fat,protein,trans_fatty_acid,item_description,total_carbohydrate,sodium,item_name,ingredient_statement,serving_size_qty,dietary_fiber,main-ingredient,item_id,calories_from_fat,monounsaturated_fat,serving_weight_grams,calories,polyunsaturated_fat,calperunitserving,vitamin_c_dv,total_fat,cholesterol,servings_per_container,serving_size_unit
Berries,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Berry,29,20,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36c9f97c3e69de4b083da,0,0,217,120,0,15.0,120,0,0,6,fl oz
Berries,0,14,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Berry,15,10,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36ca597c3e69de4b0840b,0,0,,60,0,60.0,100,0,0,8,box
Berries,0,34,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Berry,35,25,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cba97c3e69de4b084a7,0,0,,150,0,150.0,100,0,0,1,bottle
Orange,0,31,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,"Flavored, Orange Tangerine",32,25,"Juicy Juice, Orange Tangerine","Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Orange Juice from Concentrate (Water, Juice Concentrate), Tangerine Juice from Concentrate (Water, Juice Concentrate) and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cbb97c3e69de4b084b9,0,0,226,130,0,16.25,120,0,0,8,fl oz
Mango,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Mango,29,20,"100% Juice, Mango","Apple Juice, Pear Juice, and Mango Puree (Water, Juice and Puree Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cc397c3e69de4b084ff,0,0,217,120,0,15.0,120,0,0,6,fl oz
Grape,0,34,2,2014-11-24 20:24:24,Missing Info,0,0,0,0,White Grape,35,25,"Premium 100% Juice, White Grape","White Grpae Juice and Apple Juice (Water, Juice Concentrates), Natural Flavors, Citric Acid (Vitamin C).",8,0,Missing Info,51c36cc597c3e69de4b08509,0,0,217,150,0,18.75,120,0,0,6,fl oz
Grape,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple Grape,29,20,"100% Juice, Apple Grape","Apple Juice, Pear Juice, and Grape Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Malic Acid.",8,0,Missing Info,51c36cc797c3e69de4b08524,0,0,217,120,0,15.0,120,0,0,6,fl oz
Apple,0,13,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,15,20,"Juice, Apple","Apple Juice (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Malic Acid.",1,0,Missing Info,51c36cc897c3e69de4b0852a,0,0,,60,0,60.0,100,0,0,0,box
Berries,0,20,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Sparkling Berry,21,10,"Juice Beverage, Sparkling Berry","Apple Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Water, and Less than 0.5% Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C), Carbonation Added. Gluten free.",1,0,Missing Info,51c36ccc97c3e69de4b0855b,0,0,,90,0,90.0,20,0,0,4,can
Grape,0,10,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,"Brain Development, Grape",10,10,"Fruit Juice Beverage, Brain Development, Grape","Apple Juice, and Grape Juice (Water, Juice Concentrates), Water, and Less than 0.5% of Natural Flavors, Pectin, Ascorbic Acid (Vitamin C), Fish Oil (Tuna) [a Source of Omega-3], Citric Acid, Gellan Gum.",4,0,Missing Info,51c36cd097c3e69de4b08581,0,0,120,45,0,11.25,100,0,0,8,fl oz
Grape,0,0,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple Grape,29,20,"100% Juice, Apple Grape","Apple Juice, Pear Juice, and Grape Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Malic Acid.",8,0,Missing Info,51c36cd697c3e69de4b085b8,0,0,217,120,0,15.0,120,0,0,6,fl oz
Berries,0,23,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Strawberry Banana,24,15,"Juice Boxes, Strawberry Banana","Apple Juice, Pear Juice, Grape Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Banana Puree, Ascorbic Acid (Vitamin C), Citric Acid.",10,0,Missing Info,51c36cd797c3e69de4b085b9,0,0,,100,0,10.0,100,0,0,10,ea
Other,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Tropical,29,20,"100% Juice, Tropical","Apple Juice, Pear Juice, Grape Juice, Pineapple Juice, and Mango Puree (Water, Juice and Puree Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cd797c3e69de4b085c1,0,0,217,120,0,15.0,120,0,0,6,fl oz
Other,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Tropical,29,20,"100% Juice, Tropical","Apple Juice, Pear Juice, Grape Juice, Pineapple Juice, and Mango Puree (Water, Juice and Puree Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cda97c3e69de4b085e4,0,0,217,120,0,15.0,120,0,0,6,fl oz
Melon,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Watermelon,29,20,"Juice, Watermelon","Apple Juice, Pear Juice, Grape Juice, and Watermelon Juice (Water, Juice Concentrate), Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C).",8,0,Missing Info,51c36cdb97c3e69de4b085e9,0,0,226,120,0,15.0,120,0,0,8,fl oz
Berries,0,14,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Kiwi Strawberry,15,10,"100% Juice, Kiwi Strawberry","Apple Juice, Grape Juice, Kiwi Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36ce397c3e69de4b08632,0,0,,60,0,60.0,100,0,0,8,box
Apple,0,22,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,24,15,"Juice Boxes, Apple","Apple Juice (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Malic Acid.",1,0,Missing Info,51c36cea97c3e69de4b08684,0,0,,100,0,100.0,10,0,0,8,box
Apple,0,14,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,15,10,"Juice, Apple","Apple Juice from Concentrate (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51d2fb39cc9bff111580daf1,0,0,,60,0,60.0,100,0,0,8,box
Berries,0,22,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Kiwi Strawberry,24,15,"100% Juice, Kiwi Strawberry","Apple Juice, Grape Juice, Kiwi Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51d30081cc9bff111580fe64,0,0,,100,0,100.0,100,0,0,8,box
Apple,0,22,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,24,15,"Juice, Apple","Apple Juice from Concentrate (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51d30086cc9bff111580fe7a,0,0,,100,0,100.0,100,0,0,8,box
Cherry,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Cherry,29,20,"Juicy Juice Flavored Juice Blend, Cherry","Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Cherry Juice from Concentrate (Water, Juice Concentrate), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51d3009bcc9bff111580fed8,0,0,226,120,0,15.0,120,0,0,8,fl oz
Other,0,7,0,2015-05-18 00:05:41,Missing Info,0,0,0,0,,9,0,"Freezer Pops, Tropical Punch",,1,0,Missing Info,55592b2a61e715284d7ee8c2,0,0,57,35,0,35.0,0,0,0,12,pop
Orange,0,31,0,2015-09-02 02:53:45,Missing Info,0,0,0,0,,32,25,"100% Juice, Orange Tangerine",,8,0,Missing Info,55e66556771ae2d64c6d5424,0,0,,130,0,16.25,120,0,0,8,fl oz
Other,0,10,0,2015-10-13 18:48:02,Missing Info,0,0,0,0,,11,10,"Splashers, Tropical Twist",,1,0,Missing Info,561d51799280ed367b93ca4c,0,0,,45,0,45.0,100,0,0,10,pouch
